logtime,food
2023-04-24 18:19:00,6pm decaf cappuccino
2023-04-24 18:19:00,6:20 nuts and raisins
2023-04-24 18:29:00,6:30 carrot and nutzo
2023-04-24 18:40:00,6:40 seeds and 1 large date
2023-04-24 18:42:00,6:42 fasting starts
2023-04-25 09:07:00,"8:30 am bread, tea and olive oil"
2023-04-25 09:44:00,9:45 coffee 2% milk
2023-04-25 09:44:00,Capuchin
2023-04-25 10:18:00,"10:20 small bowl rice, dal and half roti"
2023-04-25 10:25:00,Chana jhor for crutch
2023-04-25 12:38:00,"1 pm sugar cookie, pasta and chole cooked"
2023-04-25 12:44:00,Cheese and crackers
2023-04-25 13:22:00,Tiramasu 1 cup
2023-04-25 16:43:00,4:45 avocado toast
2023-04-25 17:00:00,5 pm overnight oats and before and nuts
2023-04-26 11:32:00,8:30 am tea bread slice
2023-04-26 11:32:00,11:20 1.5 utappam and peanut chutney
2023-04-26 12:57:00,1 pm very small bowl dal makhni and rice
2023-04-26 13:33:00,1:30 pm dal. Makhni roti rice papad
2023-04-27 09:06:00,"9 am chai, bread toast, oil dip, 2 rusks and Marie biscuit"
2023-04-27 09:11:00,9:10 walnuts and raisins handful
2023-04-27 11:44:00,"11:35 am, capuchino and 3 cookies"
2023-04-27 12:59:00,"1 pm rice, dak makhni roti"
2023-04-27 13:27:00,1:30 pm tiramisu
2023-04-27 13:38:00,And walnuts
2023-04-27 17:27:00,5:25 pm grapes cheese and bread and avocado
2023-04-28 08:46:00,"8:15 am chai, 2 toasts and Marie biscuit 4 idlis, peanut chutney, zoug"
2023-04-28 10:20:00,10:20 2 spoons oats and wafer biscuits two small
2023-04-28 10:58:00,10:30 cappuccino
2023-04-28 12:24:00,"12:15 1 idli chutney, 1 small bowl of left over rasam kichdi"
2023-04-28 13:37:00,1:15 stir fry vegetables and rice
2023-04-28 13:37:00,1:35 grapes bowl
2023-04-28 13:40:00,"1:35 tiramisu 4/28/23, 2:15 PM - You changed the group name from ""To Self"" to ""Food log"""
2023-04-28 16:38:00,4:30 two sourdough avocado bread slices grapes cheese
2023-04-28 16:51:00,4:50 small tiramisu and walnuts
2023-04-28 16:52:00,Raisins
2023-04-28 16:57:00,Mixed nuts and raisins 4:55
2023-04-29 09:06:00,9:05 pm chai 3 toasts
2023-04-29 10:32:00,"10:20 1 uttappam, chutney and 2 tbsp oats"
2023-04-29 11:16:00,11am cappuccino
2023-04-29 14:14:00,"1:50 Rice,  dal (gangavalli), grapes and curd"
2023-04-29 14:36:00,Sweet saunf 2:35
2023-04-29 14:44:00,Done at 2:44
2023-04-29 16:35:00,"Feel: Feeling really low energy for the past 2 hours or so, sugar has been unusually high"
2023-04-30 08:43:00,"8:35 am chai avocado toast, 2 tea toasts"
2023-04-30 09:16:00,IMG-20230430-WA0008.jpg (file attached)
2023-04-30 10:54:00,"10:30 am sangak ,aloo palak Stir fried vegetables and tofu, rice Curd rice and 2 aloo papad"
2023-04-30 12:33:00,11 am cappuccino
2023-04-30 14:34:00,2:20 pm Chipotle veg bowl 3/4th bowl and tortillas
2023-04-30 15:21:00,3:20 chili lime mango samples trade joes
2023-04-30 15:22:00,Apple slices
2023-04-30 15:56:00,3:53 pm sweet plantain chips trader Joe's (plantains and palm olien) 20ish chips 200+ calories
2023-04-30 17:30:00,"5:15 pm avocado toast 2 pcs sourdough, nutzo, picked cucumbers 3, cheese slices"
2023-04-30 17:30:00,Spinach
2023-04-30 17:37:00,"5:30pm rice 1 cup  and podi, 1/2 chakkilam Blueberries"
2023-04-30 17:39:00,5:39 done
2023-05-01 11:00:00,9:40 am Chai 10:50 am cappuccino
2023-05-01 11:21:00,11:20 nuts and raisins
2023-05-01 11:37:00,Apple grapes
2023-05-01 13:00:00,"12:40 pm lunch,  rice dal palak, kadi, papads, tiramisu, grapes"
2023-05-01 17:24:00,"4:20 pm cappuccino, almond walnuts raisins"
2023-05-01 17:24:00,5pm done
2023-05-02 07:24:00,7 am Chai Avocado toast cheese 3 idlis peanut chutney
2023-05-02 08:07:00,8:07 am orange small
2023-05-02 09:41:00,9:40 am cappuccino
2023-05-02 11:52:00,"11:30 3 idlis Peanut chutney Small rice,  2 cucumbers Walnuts, almond, raisins and 3 slices of cheese"
2023-05-02 11:52:00,Blueberries
2023-05-02 15:45:00,3:20 pm rice dal 4 chakkilalu
2023-05-02 15:46:00,Some raisins and almonds Not very hungry but stuffed myself
2023-05-03 09:00:00,8:55 am tea 3 rusks
2023-05-03 11:00:00,11 am pea protein shake 1.5 scoops after 16 min rowing
2023-05-03 11:18:00,11:15 cappuccino
2023-05-03 13:28:00,1:25 pm plum and orange
2023-05-03 13:55:00,"1:55  rice dal gangavalli, okra curry, papads aloo"
2023-05-03 13:55:00,You deleted this message
2023-05-03 14:19:00,"Curd rice, chana johr flakes Blueberries, walnuts"
2023-05-03 15:22:00,3:22 plum
2023-05-03 15:35:00,"Apple, walnuts and raisins"
2023-05-03 15:35:00,Done at 3:35
2023-05-04 08:51:00,8:51 Chai 3 toasts
2023-05-04 09:08:00,9:05 1 uttappam
2023-05-04 11:29:00,11:30 makhaana small bowl
2023-05-04 11:40:00,2 scoops walnuts and raisins 1 cheese slice
2023-05-04 11:40:00,3/4 utappam
2023-05-04 11:40:00,1 Cappuccino
2023-05-04 11:43:00,Done
2023-05-04 12:52:00,"12:52 done Lunch, rice,  pappu kaya, curd, chana jhor, sweet saunf"
